age,hero,points,date,new,event
Adult,"Dash, Inventor Extraordinaire",594,2023-07-30,,Calling Birmingham
Adult,"Viserai, Rune Blood",490,2023-07-30,,Calling Birmingham
Adult,"Lexi, Livewire",400,2023-07-30,,Calling Birmingham
Adult,"Fai, Rising Rebellion",392,2023-07-30,,Calling Birmingham
Adult,"Katsu, the Wanderer",378,2023-07-30,,Calling Birmingham
Adult,"Bravo, Showstopper",304,2023-07-30,,Calling Birmingham
Adult,Dorinthea Ironsong,264,2023-07-30,,Calling Birmingham
Adult,"Rhinar, Reckless Rampage",194,2023-07-30,,Calling Birmingham
Adult,"Ser Boltyn, Breaker of Dawn",168,2023-07-30,,Calling Birmingham
Adult,"Dromai, Ash Artist",126,2023-07-30,,Calling Birmingham
Adult,"Kano, Dracai of Aether",70,2023-07-30,,Calling Birmingham
Adult,"Uzuri, Switchblade",40,2023-07-30,,Calling Birmingham
Adult,"Azalea, Ace in the Hole",36,2023-07-30,,Calling Birmingham
Adult,"Levia, Shadowborn Abomination",20,2023-07-30,,Calling Birmingham
Adult,"Arakni, Huntsman",10,2023-07-30,,Calling Birmingham
Adult,"Riptide, Lurker of the Deep",2,2023-07-30,,Calling Birmingham
Adult,"Prism, Awakener of Sol",0,2023-07-30,NEW,Calling Birmingham
Adult,"Vynnset, Iron Maiden",0,2023-07-30,NEW,Calling Birmingham
Young,Iyslander,564,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Oldhim,522,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Viserai,509,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Kano,369,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Ira, Crimson Haze",358,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Kassai, Cintari Sellsword",328,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Chane,299,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Dorinthea,281,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Dash,201,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Briar,198,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Bravo,170,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Rhinar,168,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Prism,120,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Fai,68,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Lexi,45,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Levia,37,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Dromai,29,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Uzuri,19,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Boltyn,17,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Azalea,16,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Vynnset,16,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Kayo, Berserker Runt",14,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Yoji, Royal Protector",14,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Riptide,13,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Benji, the Piercing Wind",11,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Dorinthea, Quicksilver Prodigy",11,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Prism, Advent of Thrones",10,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Valda Brightaxe,8,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Katsu,7,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Emperor, Dracai of Aesir",6,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Arakni, Solitary Confinement",5,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Data Doll MKII,2,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Shiyana, Diamond Gemini",2,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,"Kavdaen, Trader of Skins",1,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Arakni,0,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Young,Genis Wotchuneed,0,2023-08-08,,"Skirmish wk2, Battle Hardened Salt Lake City"
Adult,"Bravo, Star of the Show",1582,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Briar, Warden of Thorns",1158,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Chane, Bound by Shadow",1102,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Oldhim, Grandfather of Eternity",1186,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Prism, Sculptor of Arc Light",1098,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Lexi, Livewire",958,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Iyslander, Stormbind",844,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Dash, Inventor Extraordinaire",646,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Viserai, Rune Blood",500,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Fai, Rising Rebellion",392,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Katsu, the Wanderer",390,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Bravo, Showstopper",328,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,Dorinthea Ironsong,304,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Dromai, Ash Artist",240,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Ser Boltyn, Breaker of Dawn",218,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Rhinar, Reckless Rampage",206,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Kano, Dracai of Aether",122,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Uzuri, Switchblade",64,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Azalea, Ace in the Hole",36,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Levia, Shadowborn Abomination",20,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Arakni, Huntsman",10,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Riptide, Lurker of the Deep",2,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Prism, Awakener of Sol",0,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Vynnset, Iron Maiden",0,2023-10-10,,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,Dash I/O,0,2023-10-10,NEW,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,Maxx 'The Hype' Nitro,0,2023-10-10,NEW,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Adult,"Teklovossen, Esteemed Magnate",0,2023-10-10,NEW,"Battle Hardened Toulouse & Milwaukee, PTI Tokyo"
Young,Iyslander,564,2023-10-09,,Battle Hardened Tokyo
Young,Oldhim,522,2023-10-09,,Battle Hardened Tokyo
Young,Viserai,509,2023-10-09,,Battle Hardened Tokyo
Young,Kano,415,2023-10-09,,Battle Hardened Tokyo
Young,Chane,386,2023-10-09,,Battle Hardened Tokyo
Young,"Ira, Crimson Haze",377,2023-10-09,,Battle Hardened Tokyo
Young,"Kassai, Cintari Sellsword",361,2023-10-09,,Battle Hardened Tokyo
Young,Dorinthea,290,2023-10-09,,Battle Hardened Tokyo
Young,Dash,231,2023-10-09,,Battle Hardened Tokyo
Young,Briar,206,2023-10-09,,Battle Hardened Tokyo
Young,Bravo,184,2023-10-09,,Battle Hardened Tokyo
Young,Rhinar,177,2023-10-09,,Battle Hardened Tokyo
Young,Prism,126,2023-10-09,,Battle Hardened Tokyo
Young,Fai,71,2023-10-09,,Battle Hardened Tokyo
Young,Lexi,47,2023-10-09,,Battle Hardened Tokyo
Young,Levia,37,2023-10-09,,Battle Hardened Tokyo
Young,Dromai,32,2023-10-09,,Battle Hardened Tokyo
Young,"Yoji, Royal Protector",27,2023-10-09,,Battle Hardened Tokyo
Young,Vynnset,23,2023-10-09,,Battle Hardened Tokyo
Young,Boltyn,19,2023-10-09,,Battle Hardened Tokyo
Young,Uzuri,19,2023-10-09,,Battle Hardened Tokyo
Young,Azalea,18,2023-10-09,,Battle Hardened Tokyo
Young,Riptide,16,2023-10-09,,Battle Hardened Tokyo
Young,"Kayo, Berserker Runt",15,2023-10-09,,Battle Hardened Tokyo
Young,"Prism, Advent of Thrones",14,2023-10-09,,Battle Hardened Tokyo
Young,"Benji, the Piercing Wind",12,2023-10-09,,Battle Hardened Tokyo
Young,"Dorinthea, Quicksilver Prodigy",11,2023-10-09,,Battle Hardened Tokyo
Young,Valda Brightaxe,10,2023-10-09,,Battle Hardened Tokyo
Young,"Emperor, Dracai of Aesir",7,2023-10-09,,Battle Hardened Tokyo
Young,Katsu,7,2023-10-09,,Battle Hardened Tokyo
Young,"Arakni, Solitary Confinement",5,2023-10-09,,Battle Hardened Tokyo
Young,Data Doll MKII,2,2023-10-09,,Battle Hardened Tokyo
Young,"Shiyana, Diamond Gemini",2,2023-10-09,,Battle Hardened Tokyo
Young,"Kavdaen, Trader of Skins",1,2023-10-09,,Battle Hardened Tokyo
Young,Arakni,0,2023-10-09,,Battle Hardened Tokyo
Young,Genis Wotchuneed,0,2023-10-09,,Battle Hardened Tokyo
Young,"Dash, Database",0,2023-10-09,NEW,Battle Hardened Tokyo
Young,Maxx Nitro,0,2023-10-09,NEW,Battle Hardened Tokyo
Young,Teklovossen,0,2023-10-09,NEW,Battle Hardened Tokyo
Young,"Brevant, Civic Protector",0,2023-10-09,NEW,Battle Hardened Tokyo
Young,"Melody, Sing-along",0,2023-10-09,NEW,Battle Hardened Tokyo
Young,Professor Teklovossen,0,2023-10-09,NEW,Battle Hardened Tokyo
Adult,"Bravo, Star of the Show",1582,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Briar, Warden of Thorns",1158,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Chane, Bound by Shadow",1102,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Oldhim, Grandfather of Eternity",1186,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Prism, Sculptor of Arc Light",1098,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Lexi, Livewire",1046,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Iyslander, Stormbind",872,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Dash, Inventor Extraordinaire",674,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Viserai, Rune Blood",500,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Dromai, Ash Artist",416,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Katsu, the Wanderer",412,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Fai, Rising Rebellion",400,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Bravo, Showstopper",360,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,Dorinthea Ironsong,324,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Ser Boltyn, Breaker of Dawn",218,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Rhinar, Reckless Rampage",206,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Azalea, Ace in the Hole",148,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Kano, Dracai of Aether",122,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Uzuri, Switchblade",80,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Levia, Shadowborn Abomination",20,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Arakni, Huntsman",10,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Riptide, Lurker of the Deep",2,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Prism, Awakener of Sol",0,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Vynnset, Iron Maiden",0,2023-10-23,,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,Dash I/O,0,2023-10-23,NEW,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,Maxx 'The Hype' Nitro,0,2023-10-23,NEW,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Teklovossen, Esteemed Magnate",0,2023-10-23,NEW,"Calling Dallas-Fort Worth, Pro Quest wk1"
Adult,"Bravo, Star of the Show",1582,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Briar, Warden of Thorns",1158,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Chane, Bound by Shadow",1102,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Lexi, Livewire",1276,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Oldhim, Grandfather of Eternity",1186,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Prism, Sculptor of Arc Light",1098,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Iyslander, Stormbind",932,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Dash, Inventor Extraordinaire",698,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Dromai, Ash Artist",568,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Viserai, Rune Blood",500,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Bravo, Showstopper",484,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Katsu, the Wanderer",460,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Fai, Rising Rebellion",424,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,Dorinthea Ironsong,340,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Ser Boltyn, Breaker of Dawn",222,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Rhinar, Reckless Rampage",210,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Uzuri, Switchblade",208,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Azalea, Ace in the Hole",188,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Kano, Dracai of Aether",122,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Levia, Shadowborn Abomination",24,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Arakni, Huntsman",10,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,Dash I/O,4,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Vynnset, Iron Maiden",4,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Riptide, Lurker of the Deep",2,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,Maxx 'The Hype' Nitro,0,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Prism, Awakener of Sol",0,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Adult,"Teklovossen, Esteemed Magnate",0,2023-11-06,,"Pro Quest wk3, Calling Melbourne, Battle Hardened Vancouver, PTI Lucca"
Young,Iyslander,564,2023-11-06,,PTI Lucca
Young,Oldhim,522,2023-11-06,,PTI Lucca
Young,Viserai,509,2023-11-06,,PTI Lucca
Young,Kano,415,2023-11-06,,PTI Lucca
Young,Chane,400,2023-11-06,,PTI Lucca
Young,"Ira, Crimson Haze",377,2023-11-06,,PTI Lucca
Young,"Kassai, Cintari Sellsword",361,2023-11-06,,PTI Lucca
Young,Dorinthea,290,2023-11-06,,PTI Lucca
Young,Dash,231,2023-11-06,,PTI Lucca
Young,Briar,206,2023-11-06,,PTI Lucca
Young,Bravo,184,2023-11-06,,PTI Lucca
Young,Rhinar,177,2023-11-06,,PTI Lucca
Young,Prism,130,2023-11-06,,PTI Lucca
Young,Fai,71,2023-11-06,,PTI Lucca
Young,Lexi,47,2023-11-06,,PTI Lucca
Young,Levia,37,2023-11-06,,PTI Lucca
Young,Dromai,32,2023-11-06,,PTI Lucca
Young,"Yoji, Royal Protector",27,2023-11-06,,PTI Lucca
Young,Vynnset,23,2023-11-06,,PTI Lucca
Young,Boltyn,19,2023-11-06,,PTI Lucca
Young,Uzuri,19,2023-11-06,,PTI Lucca
Young,Azalea,18,2023-11-06,,PTI Lucca
Young,Riptide,16,2023-11-06,,PTI Lucca
Young,"Kayo, Berserker Runt",15,2023-11-06,,PTI Lucca
Young,"Prism, Advent of Thrones",14,2023-11-06,,PTI Lucca
Young,"Benji, the Piercing Wind",12,2023-11-06,,PTI Lucca
Young,"Dorinthea, Quicksilver Prodigy",11,2023-11-06,,PTI Lucca
Young,Valda Brightaxe,10,2023-11-06,,PTI Lucca
Young,"Emperor, Dracai of Aesir",7,2023-11-06,,PTI Lucca
Young,Katsu,7,2023-11-06,,PTI Lucca
Young,"Arakni, Solitary Confinement",5,2023-11-06,,PTI Lucca
Young,Data Doll MKII,2,2023-11-06,,PTI Lucca
Young,"Shiyana, Diamond Gemini",2,2023-11-06,,PTI Lucca
Young,"Kavdaen, Trader of Skins",1,2023-11-06,,PTI Lucca
Young,Arakni,0,2023-11-06,,PTI Lucca
Young,Genis Wotchuneed,0,2023-11-06,,PTI Lucca
Young,"Dash, Database",0,2023-11-06,NEW,PTI Lucca
Young,Maxx Nitro,0,2023-11-06,NEW,PTI Lucca
Young,Teklovossen,0,2023-11-06,NEW,PTI Lucca
Young,"Brevant, Civic Protector",0,2023-11-06,NEW,PTI Lucca
Young,"Melody, Sing-along",0,2023-11-06,NEW,PTI Lucca
Young,Professor Teklovossen,0,2023-11-06,NEW,PTI Lucca
Adult,"Bravo, Star of the Show",1582,2023-11-19,,World Championship
Adult,"Briar, Warden of Thorns",1158,2023-11-19,,World Championship
Adult,"Chane, Bound by Shadow",1102,2023-11-19,,World Championship
Adult,"Lexi, Livewire",1276,2023-11-19,,World Championship
Adult,"Oldhim, Grandfather of Eternity",1186,2023-11-19,,World Championship
Adult,"Prism, Sculptor of Arc Light",1098,2023-11-19,,World Championship
Adult,"Iyslander, Stormbind",972,2023-11-19,,World Championship
Adult,"Fai, Rising Rebellion",724,2023-11-19,,World Championship
Adult,"Dash, Inventor Extraordinaire",698,2023-11-19,,World Championship
Adult,"Dromai, Ash Artist",588,2023-11-19,,World Championship
Adult,"Viserai, Rune Blood",500,2023-11-19,,World Championship
Adult,"Bravo, Showstopper",484,2023-11-19,,World Championship
Adult,"Katsu, the Wanderer",460,2023-11-19,,World Championship
Adult,Dorinthea Ironsong,340,2023-11-19,,World Championship
Adult,"Ser Boltyn, Breaker of Dawn",222,2023-11-19,,World Championship
Adult,"Rhinar, Reckless Rampage",210,2023-11-19,,World Championship
Adult,"Uzuri, Switchblade",208,2023-11-19,,World Championship
Adult,"Azalea, Ace in the Hole",188,2023-11-19,,World Championship
Adult,"Kano, Dracai of Aether",122,2023-11-19,,World Championship
Adult,"Levia, Shadowborn Abomination",24,2023-11-19,,World Championship
Adult,"Arakni, Huntsman",10,2023-11-19,,World Championship
Adult,Dash I/O,4,2023-11-19,,World Championship
Adult,"Vynnset, Iron Maiden",4,2023-11-19,,World Championship
Adult,"Riptide, Lurker of the Deep",2,2023-11-19,,World Championship
Adult,Maxx 'The Hype' Nitro,0,2023-11-19,,World Championship
Adult,"Prism, Awakener of Sol",0,2023-11-19,,World Championship
Adult,"Teklovossen, Esteemed Magnate",0,2023-11-19,,World Championship
Young,Chane,500,2023-11-20,,Skirmish wk1
Young,Iyslander,564,2023-11-20,,Skirmish wk1
Young,Oldhim,522,2023-11-20,,Skirmish wk1
Young,Viserai,509,2023-11-20,,Skirmish wk1
Young,Kano,443,2023-11-20,,Skirmish wk1
Young,"Kassai, Cintari Sellsword",421,2023-11-20,,Skirmish wk1
Young,"Ira, Crimson Haze",405,2023-11-20,,Skirmish wk1
Young,Dorinthea,302,2023-11-20,,Skirmish wk1
Young,Dash,263,2023-11-20,,Skirmish wk1
Young,Briar,214,2023-11-20,,Skirmish wk1
Young,Bravo,208,2023-11-20,,Skirmish wk1
Young,Rhinar,197,2023-11-20,,Skirmish wk1
Young,Prism,134,2023-11-20,,Skirmish wk1
Young,Fai,71,2023-11-20,,Skirmish wk1
Young,Lexi,47,2023-11-20,,Skirmish wk1
Young,Levia,41,2023-11-20,,Skirmish wk1
Young,Dromai,40,2023-11-20,,Skirmish wk1
Young,"Yoji, Royal Protector",27,2023-11-20,,Skirmish wk1
Young,"Prism, Advent of Thrones",26,2023-11-20,,Skirmish wk1
Young,Vynnset,23,2023-11-20,,Skirmish wk1
Young,Boltyn,23,2023-11-20,,Skirmish wk1
Young,Azalea,22,2023-11-20,,Skirmish wk1
Young,Riptide,20,2023-11-20,,Skirmish wk1
Young,Uzuri,19,2023-11-20,,Skirmish wk1
Young,"Benji, the Piercing Wind",16,2023-11-20,,Skirmish wk1
Young,"Kayo, Berserker Runt",15,2023-11-20,,Skirmish wk1
Young,Valda Brightaxe,14,2023-11-20,,Skirmish wk1
Young,"Dorinthea, Quicksilver Prodigy",11,2023-11-20,,Skirmish wk1
Young,"Emperor, Dracai of Aesir",7,2023-11-20,,Skirmish wk1
Young,Katsu,7,2023-11-20,,Skirmish wk1
Young,"Arakni, Solitary Confinement",5,2023-11-20,,Skirmish wk1
Young,Arakni,4,2023-11-20,,Skirmish wk1
Young,"Brevant, Civic Protector",4,2023-11-20,,Skirmish wk1
Young,Data Doll MKII,2,2023-11-20,,Skirmish wk1
Young,"Shiyana, Diamond Gemini",2,2023-11-20,,Skirmish wk1
Young,"Kavdaen, Trader of Skins",1,2023-11-20,,Skirmish wk1
Young,Genis Wotchuneed,0,2023-11-20,,Skirmish wk1
Young,"Dash, Database",0,2023-11-20,,Skirmish wk1
Young,Maxx Nitro,0,2023-11-20,,Skirmish wk1
Young,"Melody, Sing-along",0,2023-11-20,,Skirmish wk1
Young,Professor Teklovossen,0,2023-11-20,,Skirmish wk1
Young,Teklovossen,0,2023-11-20,,Skirmish wk1
Adult,"Bravo, Star of the Show",1582,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Briar, Warden of Thorns",1158,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Chane, Bound by Shadow",1102,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Iyslander, Stormbind",1012,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Lexi, Livewire",1276,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Oldhim, Grandfather of Eternity",1186,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Prism, Sculptor of Arc Light",1098,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Fai, Rising Rebellion",724,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Dash, Inventor Extraordinaire",698,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Dromai, Ash Artist",588,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
