age,hero,points,date,new,event
Adult,"Bravo, Showstopper",544,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Viserai, Rune Blood",500,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Katsu, the Wanderer",480,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,Dorinthea Ironsong,340,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Ser Boltyn, Breaker of Dawn",222,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Rhinar, Reckless Rampage",210,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Azalea, Ace in the Hole",208,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Uzuri, Switchblade",208,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Kano, Dracai of Aether",122,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Levia, Shadowborn Abomination",24,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Arakni, Huntsman",10,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,Dash I/O,4,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Vynnset, Iron Maiden",4,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Riptide, Lurker of the Deep",2,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,Maxx 'The Hype' Nitro,0,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Prism, Awakener of Sol",0,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Adult,"Teklovossen, Esteemed Magnate",0,2023-12-05,,Battle Hardened + PTI Bangkok + PTI Realm Brawl
Young,Chane,504,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Ira, Crimson Haze",573,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Iyslander,564,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Kano,527,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Kassai, Cintari Sellsword",577,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Oldhim,522,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Viserai,509,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Dash,363,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Dorinthea,342,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Briar,334,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Bravo,308,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Rhinar,269,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Prism,178,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Emperor, Dracai of Aesir",79,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Fai,75,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Levia,69,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Prism, Advent of Thrones",58,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Dromai,52,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Lexi,47,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Riptide,44,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Vynnset,43,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Yoji, Royal Protector",39,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Benji, the Piercing Wind",32,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Azalea,30,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Valda Brightaxe,30,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Boltyn,27,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Dorinthea, Quicksilver Prodigy",19,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Uzuri,19,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Kayo, Berserker Runt",15,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Arakni,12,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Katsu,11,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Data Doll MKII,10,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Brevant, Civic Protector",8,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Arakni, Solitary Confinement",5,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Dash, Database",4,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Professor Teklovossen,4,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Teklovossen,4,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Shiyana, Diamond Gemini",2,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Kavdaen, Trader of Skins",1,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Genis Wotchuneed,0,2023-12-05,,Skirmish wk3 + late results from wk2
Young,Maxx Nitro,0,2023-12-05,,Skirmish wk3 + late results from wk2
Young,"Melody, Sing-along",0,2023-12-05,,Skirmish wk3 + late results from wk2
Adult,"Bravo, Star of the Show",1582,2023-12-12,,Battle Hardened Orlando
Adult,"Briar, Warden of Thorns",1158,2023-12-12,,Battle Hardened Orlando
Adult,"Chane, Bound by Shadow",1102,2023-12-12,,Battle Hardened Orlando
Adult,"Iyslander, Stormbind",1012,2023-12-12,,Battle Hardened Orlando
Adult,"Lexi, Livewire",1276,2023-12-12,,Battle Hardened Orlando
Adult,"Oldhim, Grandfather of Eternity",1186,2023-12-12,,Battle Hardened Orlando
Adult,"Prism, Sculptor of Arc Light",1098,2023-12-12,,Battle Hardened Orlando
Adult,"Fai, Rising Rebellion",724,2023-12-12,,Battle Hardened Orlando
Adult,"Dash, Inventor Extraordinaire",698,2023-12-12,,Battle Hardened Orlando
Adult,"Dromai, Ash Artist",588,2023-12-12,,Battle Hardened Orlando
Adult,"Bravo, Showstopper",544,2023-12-12,,Battle Hardened Orlando
Adult,"Viserai, Rune Blood",500,2023-12-12,,Battle Hardened Orlando
Adult,"Katsu, the Wanderer",480,2023-12-12,,Battle Hardened Orlando
Adult,Dorinthea Ironsong,340,2023-12-12,,Battle Hardened Orlando
Adult,"Ser Boltyn, Breaker of Dawn",222,2023-12-12,,Battle Hardened Orlando
Adult,"Rhinar, Reckless Rampage",210,2023-12-12,,Battle Hardened Orlando
Adult,"Azalea, Ace in the Hole",208,2023-12-12,,Battle Hardened Orlando
Adult,"Uzuri, Switchblade",208,2023-12-12,,Battle Hardened Orlando
Adult,"Kano, Dracai of Aether",162,2023-12-12,,Battle Hardened Orlando
Adult,"Levia, Shadowborn Abomination",24,2023-12-12,,Battle Hardened Orlando
Adult,"Arakni, Huntsman",10,2023-12-12,,Battle Hardened Orlando
Adult,Dash I/O,4,2023-12-12,,Battle Hardened Orlando
Adult,"Vynnset, Iron Maiden",4,2023-12-12,,Battle Hardened Orlando
Adult,"Riptide, Lurker of the Deep",2,2023-12-12,,Battle Hardened Orlando
Adult,Maxx 'The Hype' Nitro,0,2023-12-12,,Battle Hardened Orlando
Adult,"Prism, Awakener of Sol",0,2023-12-12,,Battle Hardened Orlando
Adult,"Teklovossen, Esteemed Magnate",0,2023-12-12,,Battle Hardened Orlando
Young,Chane,504,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Ira, Crimson Haze",589,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Iyslander,564,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Kano,535,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Kassai, Cintari Sellsword",585,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Oldhim,522,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Viserai,509,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Briar,418,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Dash,415,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Dorinthea,382,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Bravo,360,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Rhinar,293,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Prism,186,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Emperor, Dracai of Aesir",127,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Fai,87,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Levia,77,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Prism, Advent of Thrones",70,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Dromai,64,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Lexi,55,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Vynnset,55,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Yoji, Royal Protector",51,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Riptide,44,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Benji, the Piercing Wind",32,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Boltyn,31,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Azalea,30,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Valda Brightaxe,30,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Dorinthea, Quicksilver Prodigy",23,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Kayo, Berserker Runt",19,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Uzuri,19,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Arakni,16,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Katsu,15,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Data Doll MKII,10,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Arakni, Solitary Confinement",9,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Brevant, Civic Protector",8,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Dash, Database",8,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Professor Teklovossen,4,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Teklovossen,4,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Shiyana, Diamond Gemini",2,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Kavdaen, Trader of Skins",1,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Genis Wotchuneed,0,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Maxx Nitro,0,2023-12-12,,Skirmish wk4 + late results from wk3
Young,"Melody, Sing-along",0,2023-12-12,,Skirmish wk4 + late results from wk3
Young,Chane,504,2023-12-15,,Skirmish wk4 final
Young,"Ira, Crimson Haze",589,2023-12-15,,Skirmish wk4 final
Young,Iyslander,564,2023-12-15,,Skirmish wk4 final
Young,Kano,535,2023-12-15,,Skirmish wk4 final
Young,"Kassai, Cintari Sellsword",585,2023-12-15,,Skirmish wk4 final
Young,Oldhim,522,2023-12-15,,Skirmish wk4 final
Young,Viserai,509,2023-12-15,,Skirmish wk4 final
Young,Dash,419,2023-12-15,,Skirmish wk4 final
Young,Briar,418,2023-12-15,,Skirmish wk4 final
Young,Dorinthea,382,2023-12-15,,Skirmish wk4 final
Young,Bravo,360,2023-12-15,,Skirmish wk4 final
Young,Rhinar,293,2023-12-15,,Skirmish wk4 final
Young,Prism,186,2023-12-15,,Skirmish wk4 final
Young,"Emperor, Dracai of Aesir",127,2023-12-15,,Skirmish wk4 final
Young,Fai,87,2023-12-15,,Skirmish wk4 final
Young,Levia,77,2023-12-15,,Skirmish wk4 final
Young,"Prism, Advent of Thrones",70,2023-12-15,,Skirmish wk4 final
Young,Dromai,64,2023-12-15,,Skirmish wk4 final
Young,Lexi,55,2023-12-15,,Skirmish wk4 final
Young,Vynnset,55,2023-12-15,,Skirmish wk4 final
Young,"Yoji, Royal Protector",51,2023-12-15,,Skirmish wk4 final
Young,Riptide,44,2023-12-15,,Skirmish wk4 final
Young,"Benji, the Piercing Wind",32,2023-12-15,,Skirmish wk4 final
Young,Boltyn,31,2023-12-15,,Skirmish wk4 final
Young,Azalea,30,2023-12-15,,Skirmish wk4 final
Young,Valda Brightaxe,30,2023-12-15,,Skirmish wk4 final
Young,"Dorinthea, Quicksilver Prodigy",23,2023-12-15,,Skirmish wk4 final
Young,"Kayo, Berserker Runt",19,2023-12-15,,Skirmish wk4 final
Young,Uzuri,19,2023-12-15,,Skirmish wk4 final
Young,Arakni,16,2023-12-15,,Skirmish wk4 final
Young,Katsu,15,2023-12-15,,Skirmish wk4 final
Young,Data Doll MKII,10,2023-12-15,,Skirmish wk4 final
Young,"Arakni, Solitary Confinement",9,2023-12-15,,Skirmish wk4 final
Young,"Brevant, Civic Protector",8,2023-12-15,,Skirmish wk4 final
Young,"Dash, Database",12,2023-12-15,,Skirmish wk4 final
Young,Professor Teklovossen,4,2023-12-15,,Skirmish wk4 final
Young,Teklovossen,4,2023-12-15,,Skirmish wk4 final
Young,"Shiyana, Diamond Gemini",2,2023-12-15,,Skirmish wk4 final
Young,"Kavdaen, Trader of Skins",1,2023-12-15,,Skirmish wk4 final
Young,Genis Wotchuneed,0,2023-12-15,,Skirmish wk4 final
Young,Maxx Nitro,0,2023-12-15,,Skirmish wk4 final
Young,"Melody, Sing-along",0,2023-12-15,,Skirmish wk4 final
Adult,"Bravo, Star of the Show",1582,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Briar, Warden of Thorns",1158,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Chane, Bound by Shadow",1102,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Iyslander, Stormbind",1012,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Lexi, Livewire",1276,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Oldhim, Grandfather of Eternity",1186,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Prism, Sculptor of Arc Light",1098,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Fai, Rising Rebellion",764,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Dash, Inventor Extraordinaire",698,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Dromai, Ash Artist",588,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Bravo, Showstopper",544,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Viserai, Rune Blood",500,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Katsu, the Wanderer",480,2023-12-18,,Battle Hardened & PTI Hannover
Adult,Dorinthea Ironsong,340,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Ser Boltyn, Breaker of Dawn",222,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Rhinar, Reckless Rampage",210,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Azalea, Ace in the Hole",208,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Uzuri, Switchblade",208,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Kano, Dracai of Aether",182,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Levia, Shadowborn Abomination",24,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Arakni, Huntsman",10,2023-12-18,,Battle Hardened & PTI Hannover
Adult,Dash I/O,4,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Vynnset, Iron Maiden",4,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Riptide, Lurker of the Deep",2,2023-12-18,,Battle Hardened & PTI Hannover
Adult,Maxx 'The Hype' Nitro,0,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Prism, Awakener of Sol",0,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Teklovossen, Esteemed Magnate",0,2023-12-18,,Battle Hardened & PTI Hannover
Adult,"Bravo, Star of the Show",1582,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Briar, Warden of Thorns",1158,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Chane, Bound by Shadow",1102,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Iyslander, Stormbind",1012,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Lexi, Livewire",1276,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Oldhim, Grandfather of Eternity",1186,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Prism, Sculptor of Arc Light",1098,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Fai, Rising Rebellion",764,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Dash, Inventor Extraordinaire",698,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Dromai, Ash Artist",648,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Bravo, Showstopper",584,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Viserai, Rune Blood",500,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Katsu, the Wanderer",480,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,Dorinthea Ironsong,340,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Ser Boltyn, Breaker of Dawn",222,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Rhinar, Reckless Rampage",210,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Azalea, Ace in the Hole",208,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Uzuri, Switchblade",208,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Kano, Dracai of Aether",182,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Levia, Shadowborn Abomination",24,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Arakni, Huntsman",10,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,Dash I/O,4,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Vynnset, Iron Maiden",4,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Riptide, Lurker of the Deep",2,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,Maxx 'The Hype' Nitro,0,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Prism, Awakener of Sol",0,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Teklovossen, Esteemed Magnate",0,2024-01-09,,Battle Hardened / PTI Cincinnati
Adult,"Bravo, Star of the Show",1582,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Briar, Warden of Thorns",1158,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Chane, Bound by Shadow",1102,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Iyslander, Stormbind",1012,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Lexi, Livewire",1276,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Oldhim, Grandfather of Eternity",1186,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Prism, Sculptor of Arc Light",1098,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Fai, Rising Rebellion",764,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Dash, Inventor Extraordinaire",698,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Dromai, Ash Artist",648,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Bravo, Showstopper",604,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Viserai, Rune Blood",500,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Katsu, the Wanderer",480,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,Dorinthea Ironsong,340,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Ser Boltyn, Breaker of Dawn",222,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Rhinar, Reckless Rampage",210,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Azalea, Ace in the Hole",208,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Uzuri, Switchblade",208,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Kano, Dracai of Aether",182,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Kayo, Armed and Dangerous",40,2024-02-05,NEW,Battle Hardened Hartford / PTI Manila
Adult,"Levia, Shadowborn Abomination",24,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Arakni, Huntsman",10,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,Dash I/O,4,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Vynnset, Iron Maiden",4,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Riptide, Lurker of the Deep",2,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,Maxx 'The Hype' Nitro,0,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Prism, Awakener of Sol",0,2024-02-05,,Battle Hardened Hartford / PTI Manila
Adult,"Teklovossen, Esteemed Magnate",0,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Chane,504,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Ira, Crimson Haze",589,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Iyslander,564,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Kano,535,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Kassai, Cintari Sellsword",585,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Oldhim,522,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Viserai,509,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Dash,419,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Briar,418,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Dorinthea,382,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Bravo,360,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Rhinar,293,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Prism,186,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Emperor, Dracai of Aesir",127,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Fai,87,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Levia,77,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Prism, Advent of Thrones",70,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Dromai,64,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Lexi,55,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Vynnset,55,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Yoji, Royal Protector",51,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Riptide,44,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Victor Goldmane,40,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Benji, the Piercing Wind",32,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Boltyn,31,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Azalea,30,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Valda Brightaxe,30,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Dorinthea, Quicksilver Prodigy",23,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Kayo, Berserker Runt",19,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Uzuri,19,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Arakni,16,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Katsu,15,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Data Doll MKII,10,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Arakni, Solitary Confinement",9,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Brevant, Civic Protector",8,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Dash, Database",12,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Professor Teklovossen,4,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Teklovossen,4,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Shiyana, Diamond Gemini",2,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Kavdaen, Trader of Skins",1,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Genis Wotchuneed,0,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,Maxx Nitro,0,2024-02-05,,Battle Hardened Hartford / PTI Manila
Young,"Melody, Sing-along",0,2024-02-05,,Battle Hardened Hartford / PTI Manila